SA2 - Residence,SA2 - Place of Work,Count
Green Valley - Cecil Hills,Calga - Kulnura,3
Horsley Park - Kemps Creek,Calga - Kulnura,3
No Usual Address (NSW),Calga - Kulnura,3
Avoca Beach - Copacabana,Erina - Green Point,336
Box Head - MacMasters Beach,Erina - Green Point,269
Calga - Kulnura,Erina - Green Point,43
Erina - Green Point,Erina - Green Point,1498
Gosford - Springfield,Erina - Green Point,844
Kariong,Erina - Green Point,139
Kincumber - Picketts Valley,Erina - Green Point,290
Narara,Erina - Green Point,204
Niagara Park - Lisarow,Erina - Green Point,232
Point Clare - Koolewong,Erina - Green Point,137
Saratoga - Davistown,Erina - Green Point,344
Terrigal - North Avoca,Erina - Green Point,836
Umina - Booker Bay - Patonga,Erina - Green Point,239
Wamberal - Forresters Beach,Erina - Green Point,539
Woy Woy - Blackwall,Erina - Green Point,142
Wyoming,Erina - Green Point,292
Bateau Bay - Killarney Vale,Erina - Green Point,564
Blue Haven - San Remo,Erina - Green Point,53
Budgewoi - Buff Point - Halekulani,Erina - Green Point,47
Chittaway Bay - Tumbi Umbi,Erina - Green Point,287
Gorokan - Kanwal - Charmhaven,Erina - Green Point,98
Jilliby - Yarramalong,Erina - Green Point,20
Lake Munmorah - Mannering Park,Erina - Green Point,29
Ourimbah - Fountaindale,Erina - Green Point,111
Summerland Point - Gwandalan,Erina - Green Point,21
The Entrance,Erina - Green Point,244
Toukley - Norah Head,Erina - Green Point,60
Tuggerah - Kangy Angy,Erina - Green Point,57
Warnervale - Wadalba,Erina - Green Point,84
Wyong,Erina - Green Point,57
Cessnock,Erina - Green Point,3
Cessnock Region,Erina - Green Point,3
Laurieton - Bonny Hills,Erina - Green Point,3
Belmont - Bennetts Green,Erina - Green Point,4
Charlestown - Dudley,Erina - Green Point,7
Glendale - Cardiff - Hillsborough,Erina - Green Point,5
Swansea - Caves Beach,Erina - Green Point,5
Valentine - Eleebana,Erina - Green Point,5
Warners Bay - Boolaroo,Erina - Green Point,3
Bonnells Bay - Silverwater,Erina - Green Point,13
Morisset - Cooranbong,Erina - Green Point,35
Toronto - Awaba,Erina - Green Point,3
Wangi Wangi - Rathmines,Erina - Green Point,6
Lambton - New Lambton,Erina - Green Point,3
Newcastle - Cooks Hill,Erina - Green Point,3
Shortland - Jesmond,Erina - Green Point,4
Wallsend - Elermore Vale,Erina - Green Point,3
Wickham - Carrington - Tighes Hill,Erina - Green Point,3
Castle Hill,Erina - Green Point,4
Galston - Laughtondale,Erina - Green Point,3
Rouse Hill - Beaumont Hills,Erina - Green Point,3
Peakhurst - Lugarno,Erina - Green Point,5
South Hurstville - Blakehurst,Erina - Green Point,3
Five Dock - Abbotsford,Erina - Green Point,3
Chatswood (West) - Lane Cove North,Erina - Green Point,3
Berowra - Brooklyn - Cowan,Erina - Green Point,5
Hornsby - Waitara,Erina - Green Point,16
Normanhurst - Thornleigh - Westleigh,Erina - Green Point,3
St Ives,Erina - Green Point,3
Turramurra,Erina - Green Point,3
Wahroonga - Warrawee,Erina - Green Point,6
Crows Nest - Waverton,Erina - Green Point,4
Cambridge Park,Erina - Green Point,4
Chester Hill - Sefton,Erina - Green Point,3
Epping - North Epping,Erina - Green Point,3
Canley Vale - Canley Heights,Erina - Green Point,3
No Usual Address (NSW),Erina - Green Point,7
Goulburn,Gosford - Springfield,3
Jindabyne - Berridale,Gosford - Springfield,3
Avoca Beach - Copacabana,Gosford - Springfield,526
Box Head - MacMasters Beach,Gosford - Springfield,526
Calga - Kulnura,Gosford - Springfield,171
Erina - Green Point,Gosford - Springfield,989
Gosford - Springfield,Gosford - Springfield,2459
Kariong,Gosford - Springfield,506
Kincumber - Picketts Valley,Gosford - Springfield,470
Narara,Gosford - Springfield,725
Niagara Park - Lisarow,Gosford - Springfield,722
Point Clare - Koolewong,Gosford - Springfield,505
Saratoga - Davistown,Gosford - Springfield,541
Terrigal - North Avoca,Gosford - Springfield,878
Umina - Booker Bay - Patonga,Gosford - Springfield,933
Wamberal - Forresters Beach,Gosford - Springfield,544
Woy Woy - Blackwall,Gosford - Springfield,558
Wyoming,Gosford - Springfield,966
Bateau Bay - Killarney Vale,Gosford - Springfield,802
Blue Haven - San Remo,Gosford - Springfield,199
Budgewoi - Buff Point - Halekulani,Gosford - Springfield,131
Chittaway Bay - Tumbi Umbi,Gosford - Springfield,555
Gorokan - Kanwal - Charmhaven,Gosford - Springfield,375
Jilliby - Yarramalong,Gosford - Springfield,83
Lake Munmorah - Mannering Park,Gosford - Springfield,140
Ourimbah - Fountaindale,Gosford - Springfield,346
Summerland Point - Gwandalan,Gosford - Springfield,64
The Entrance,Gosford - Springfield,413
Toukley - Norah Head,Gosford - Springfield,108
Tuggerah - Kangy Angy,Gosford - Springfield,161
Warnervale - Wadalba,Gosford - Springfield,307
Wyong,Gosford - Springfield,187
Branxton - Greta - Pokolbin,Gosford - Springfield,3
Cessnock,Gosford - Springfield,10
Cessnock Region,Gosford - Springfield,26
Dungog,Gosford - Springfield,3
Kurri Kurri - Abermain,Gosford - Springfield,5
Maitland - East,Gosford - Springfield,11
Maitland - North,Gosford - Springfield,3
Maitland - West,Gosford - Springfield,4
Thornton - Millers Forest,Gosford - Springfield,4
Lemon Tree Passage - Tanilba Bay,Gosford - Springfield,3
Nelson Bay Peninsula,Gosford - Springfield,3
Tea Gardens - Hawks Nest,Gosford - Springfield,3
Williamtown - Medowie - Karuah,Gosford - Springfield,8
Muswellbrook Region,Gosford - Springfield,3
Forster-Tuncurry Region,Gosford - Springfield,3
Tamworth - East,Gosford - Springfield,4
Belmont - Bennetts Green,Gosford - Springfield,17
Belmont South - Blacksmiths,Gosford - Springfield,6
Charlestown - Dudley,Gosford - Springfield,9
Glendale - Cardiff - Hillsborough,Gosford - Springfield,7
Swansea - Caves Beach,Gosford - Springfield,22
Valentine - Eleebana,Gosford - Springfield,7
Warners Bay - Boolaroo,Gosford - Springfield,11
Bolton Point - Teralba,Gosford - Springfield,6
Bonnells Bay - Silverwater,Gosford - Springfield,61
Edgeworth - Cameron Park,Gosford - Springfield,7
Morisset - Cooranbong,Gosford - Springfield,119
Toronto - Awaba,Gosford - Springfield,17
Wangi Wangi - Rathmines,Gosford - Springfield,23
West Wallsend - Barnsley - Killingworth,Gosford - Springfield,5
Adamstown - Kotara,Gosford - Springfield,11
Hamilton - Broadmeadow,Gosford - Springfield,11
Lambton - New Lambton,Gosford - Springfield,13
Maryland - Fletcher - Minmi,Gosford - Springfield,4
Mayfield - Warabrook,Gosford - Springfield,4
Merewether - The Junction,Gosford - Springfield,3
Newcastle - Cooks Hill,Gosford - Springfield,9
Shortland - Jesmond,Gosford - Springfield,3
Wallsend - Elermore Vale,Gosford - Springfield,12
Waratah - North Lambton,Gosford - Springfield,6
Wickham - Carrington - Tighes Hill,Gosford - Springfield,9
Kingscliff - Fingal Head,Gosford - Springfield,4
Baulkham Hills (West) - Bella Vista,Gosford - Springfield,8
Castle Hill,Gosford - Springfield,3
Cherrybrook,Gosford - Springfield,9
Kellyville,Gosford - Springfield,5
Dural - Kenthurst - Wisemans Ferry,Gosford - Springfield,11
Galston - Laughtondale,Gosford - Springfield,5
Kurrajong Heights - Ebenezer,Gosford - Springfield,3
Blacktown (South),Gosford - Springfield,3
Doonside - Woodcroft,Gosford - Springfield,4
Lalor Park - Kings Langley,Gosford - Springfield,6
Seven Hills - Toongabbie,Gosford - Springfield,3
Glenwood,Gosford - Springfield,7
Parklea - Kellyville Ridge,Gosford - Springfield,3
Mascot - Eastlakes,Gosford - Springfield,4
Petersham - Stanmore,Gosford - Springfield,7
Darlinghurst,Gosford - Springfield,3
Erskineville - Alexandria,Gosford - Springfield,3
Glebe - Forest Lodge,Gosford - Springfield,4
Newtown - Camperdown - Darlington,Gosford - Springfield,8
Redfern - Chippendale,Gosford - Springfield,4
Sydney - Haymarket - The Rocks,Gosford - Springfield,3
Waterloo - Beaconsfield,Gosford - Springfield,4
Bondi Beach - North Bondi,Gosford - Springfield,3
Double Bay - Bellevue Hill,Gosford - Springfield,3
Coogee - Clovelly,Gosford - Springfield,3
Malabar - La Perouse - Chifley,Gosford - Springfield,4
Bankstown,Gosford - Springfield,3
Canterbury (South) - Campsie,Gosford - Springfield,3
Punchbowl,Gosford - Springfield,3
Concord - Mortlake - Cabarita,Gosford - Springfield,3
Concord West - North Strathfield,Gosford - Springfield,3
Drummoyne - Rodd Point,Gosford - Springfield,4
Leichhardt - Annandale,Gosford - Springfield,3
Homebush,Gosford - Springfield,3
Strathfield,Gosford - Springfield,7
Chatswood (West) - Lane Cove North,Gosford - Springfield,3
Lane Cove - Greenwich,Gosford - Springfield,8
Willoughby - Castle Cove - Northbridge,Gosford - Springfield,4
Asquith - Mount Colah,Gosford - Springfield,21
Berowra - Brooklyn - Cowan,Gosford - Springfield,33
Hornsby - Waitara,Gosford - Springfield,51
Normanhurst - Thornleigh - Westleigh,Gosford - Springfield,13
Gordon - Killara,Gosford - Springfield,13
Lindfield - Roseville,Gosford - Springfield,5
Pymble,Gosford - Springfield,17
St Ives,Gosford - Springfield,12
Turramurra,Gosford - Springfield,4
Wahroonga - Warrawee,Gosford - Springfield,26
Cremorne - Cammeray,Gosford - Springfield,4
Crows Nest - Waverton,Gosford - Springfield,3
Neutral Bay - Kirribilli,Gosford - Springfield,10
Balgowlah - Clontarf - Seaforth,Gosford - Springfield,7
Avalon - Palm Beach,Gosford - Springfield,3
Newport - Bilgola,Gosford - Springfield,5
Forestville - Killarney Heights,Gosford - Springfield,3
Frenchs Forest - Belrose,Gosford - Springfield,3
Rosemeadow - Glen Alpine,Gosford - Springfield,3
Castlereagh - Cranebrook,Gosford - Springfield,3
Penrith,Gosford - Springfield,3
St Clair,Gosford - Springfield,3
St Marys - Colyton,Gosford - Springfield,5
Auburn,Gosford - Springfield,4
Homebush Bay - Silverwater,Gosford - Springfield,3
Carlingford,Gosford - Springfield,3
Oatlands - Dundas Valley,Gosford - Springfield,3
North Parramatta,Gosford - Springfield,3
Northmead,Gosford - Springfield,4
Parramatta - Rosehill,Gosford - Springfield,3
Epping - North Epping,Gosford - Springfield,3
Pennant Hills - Cheltenham,Gosford - Springfield,6
Eastwood - Denistone,Gosford - Springfield,11
Hunters Hill - Woolwich,Gosford - Springfield,3
Macquarie Park - Marsfield,Gosford - Springfield,7
North Ryde - East Ryde,Gosford - Springfield,4
Green Valley - Cecil Hills,Gosford - Springfield,3
Bonnyrigg Heights - Bonnyrigg,Gosford - Springfield,3
Bossley Park - Abbotsbury,Gosford - Springfield,3
Cronulla - Kurnell - Bundeena,Gosford - Springfield,3
Menai - Lucas Heights - Woronora,Gosford - Springfield,4
No Usual Address (NSW),Gosford - Springfield,16
Avoca Beach - Copacabana,Kariong,28
Box Head - MacMasters Beach,Kariong,22
Calga - Kulnura,Kariong,23
Erina - Green Point,Kariong,33
Gosford - Springfield,Kariong,50
Kariong,Kariong,314
Kincumber - Picketts Valley,Kariong,22
Narara,Kariong,17
Niagara Park - Lisarow,Kariong,29
Point Clare - Koolewong,Kariong,19
Saratoga - Davistown,Kariong,20
Terrigal - North Avoca,Kariong,37
Umina - Booker Bay - Patonga,Kariong,71
Wamberal - Forresters Beach,Kariong,33
Woy Woy - Blackwall,Kariong,42
Wyoming,Kariong,25
Bateau Bay - Killarney Vale,Kariong,32
Blue Haven - San Remo,Kariong,6
Budgewoi - Buff Point - Halekulani,Kariong,11
Chittaway Bay - Tumbi Umbi,Kariong,18
Gorokan - Kanwal - Charmhaven,Kariong,23
Jilliby - Yarramalong,Kariong,6
Lake Munmorah - Mannering Park,Kariong,17
Ourimbah - Fountaindale,Kariong,20
Summerland Point - Gwandalan,Kariong,8
The Entrance,Kariong,12
Toukley - Norah Head,Kariong,13
Tuggerah - Kangy Angy,Kariong,14
Warnervale - Wadalba,Kariong,24
Wyong,Kariong,11
Cessnock,Kariong,3
Glendale - Cardiff - Hillsborough,Kariong,3
Swansea - Caves Beach,Kariong,4
Bonnells Bay - Silverwater,Kariong,5
Morisset - Cooranbong,Kariong,3
Wangi Wangi - Rathmines,Kariong,3
Lambton - New Lambton,Kariong,4
Castle Hill,Kariong,3
Berowra - Brooklyn - Cowan,Kariong,3
Pymble,Kariong,3
Avoca Beach - Copacabana,Kincumber - Picketts Valley,186
Box Head - MacMasters Beach,Kincumber - Picketts Valley,206
Calga - Kulnura,Kincumber - Picketts Valley,6
Erina - Green Point,Kincumber - Picketts Valley,106
Gosford - Springfield,Kincumber - Picketts Valley,92
Kariong,Kincumber - Picketts Valley,16
Kincumber - Picketts Valley,Kincumber - Picketts Valley,534
Narara,Kincumber - Picketts Valley,28
Niagara Park - Lisarow,Kincumber - Picketts Valley,24
Point Clare - Koolewong,Kincumber - Picketts Valley,31
Saratoga - Davistown,Kincumber - Picketts Valley,137
Terrigal - North Avoca,Kincumber - Picketts Valley,90
Umina - Booker Bay - Patonga,Kincumber - Picketts Valley,92
Wamberal - Forresters Beach,Kincumber - Picketts Valley,61
Woy Woy - Blackwall,Kincumber - Picketts Valley,50
Wyoming,Kincumber - Picketts Valley,23
Bateau Bay - Killarney Vale,Kincumber - Picketts Valley,69
Blue Haven - San Remo,Kincumber - Picketts Valley,13
Budgewoi - Buff Point - Halekulani,Kincumber - Picketts Valley,12
Chittaway Bay - Tumbi Umbi,Kincumber - Picketts Valley,34
Gorokan - Kanwal - Charmhaven,Kincumber - Picketts Valley,20
Jilliby - Yarramalong,Kincumber - Picketts Valley,3
Lake Munmorah - Mannering Park,Kincumber - Picketts Valley,5
Ourimbah - Fountaindale,Kincumber - Picketts Valley,5
Summerland Point - Gwandalan,Kincumber - Picketts Valley,5
The Entrance,Kincumber - Picketts Valley,31
Toukley - Norah Head,Kincumber - Picketts Valley,7
Tuggerah - Kangy Angy,Kincumber - Picketts Valley,7
Warnervale - Wadalba,Kincumber - Picketts Valley,3
Wyong,Kincumber - Picketts Valley,7
Sawtell - Boambee,Kincumber - Picketts Valley,3
Swansea - Caves Beach,Kincumber - Picketts Valley,3
Wahroonga - Warrawee,Kincumber - Picketts Valley,3
Balgowlah - Clontarf - Seaforth,Kincumber - Picketts Valley,3
Avoca Beach - Copacabana,Narara,9
Box Head - MacMasters Beach,Narara,3
Erina - Green Point,Narara,14
Gosford - Springfield,Narara,34
Kariong,Narara,9
Kincumber - Picketts Valley,Narara,5
Narara,Narara,236
Niagara Park - Lisarow,Narara,15
Point Clare - Koolewong,Narara,11
Saratoga - Davistown,Narara,16
Terrigal - North Avoca,Narara,12
Umina - Booker Bay - Patonga,Narara,16
Wamberal - Forresters Beach,Narara,12
Woy Woy - Blackwall,Narara,16
Wyoming,Narara,29
Bateau Bay - Killarney Vale,Narara,15
Blue Haven - San Remo,Narara,5
Chittaway Bay - Tumbi Umbi,Narara,17
Gorokan - Kanwal - Charmhaven,Narara,11
Jilliby - Yarramalong,Narara,5
Lake Munmorah - Mannering Park,Narara,3
Ourimbah - Fountaindale,Narara,9
Summerland Point - Gwandalan,Narara,3
The Entrance,Narara,12
Toukley - Norah Head,Narara,4
Tuggerah - Kangy Angy,Narara,7
Warnervale - Wadalba,Narara,3
Wyong,Narara,4
Cessnock Region,Narara,3
Glendale - Cardiff - Hillsborough,Narara,3
Redhead,Narara,3
Morisset - Cooranbong,Narara,4
Wahroonga - Warrawee,Narara,3
Avoca Beach - Copacabana,Niagara Park - Lisarow,19
Box Head - MacMasters Beach,Niagara Park - Lisarow,39
Calga - Kulnura,Niagara Park - Lisarow,16
Erina - Green Point,Niagara Park - Lisarow,73
Gosford - Springfield,Niagara Park - Lisarow,156
Kariong,Niagara Park - Lisarow,36
Kincumber - Picketts Valley,Niagara Park - Lisarow,30
Narara,Niagara Park - Lisarow,131
Niagara Park - Lisarow,Niagara Park - Lisarow,515
Point Clare - Koolewong,Niagara Park - Lisarow,39
Saratoga - Davistown,Niagara Park - Lisarow,34
Terrigal - North Avoca,Niagara Park - Lisarow,75
Umina - Booker Bay - Patonga,Niagara Park - Lisarow,83
Wamberal - Forresters Beach,Niagara Park - Lisarow,60
Woy Woy - Blackwall,Niagara Park - Lisarow,47
Wyoming,Niagara Park - Lisarow,149
Bateau Bay - Killarney Vale,Niagara Park - Lisarow,153
Blue Haven - San Remo,Niagara Park - Lisarow,65
Budgewoi - Buff Point - Halekulani,Niagara Park - Lisarow,36
Chittaway Bay - Tumbi Umbi,Niagara Park - Lisarow,142
Gorokan - Kanwal - Charmhaven,Niagara Park - Lisarow,102
Jilliby - Yarramalong,Niagara Park - Lisarow,15
Lake Munmorah - Mannering Park,Niagara Park - Lisarow,39
Ourimbah - Fountaindale,Niagara Park - Lisarow,116
Summerland Point - Gwandalan,Niagara Park - Lisarow,21
The Entrance,Niagara Park - Lisarow,53
Toukley - Norah Head,Niagara Park - Lisarow,16
Tuggerah - Kangy Angy,Niagara Park - Lisarow,43
Warnervale - Wadalba,Niagara Park - Lisarow,59
Wyong,Niagara Park - Lisarow,49
Branxton - Greta - Pokolbin,Niagara Park - Lisarow,3
Cessnock,Niagara Park - Lisarow,3
Cessnock Region,Niagara Park - Lisarow,3
Kurri Kurri - Abermain,Niagara Park - Lisarow,4
Belmont South - Blacksmiths,Niagara Park - Lisarow,3
Charlestown - Dudley,Niagara Park - Lisarow,3
Glendale - Cardiff - Hillsborough,Niagara Park - Lisarow,5
Swansea - Caves Beach,Niagara Park - Lisarow,8
Bonnells Bay - Silverwater,Niagara Park - Lisarow,11
Morisset - Cooranbong,Niagara Park - Lisarow,28
Wangi Wangi - Rathmines,Niagara Park - Lisarow,4
Kellyville,Niagara Park - Lisarow,3
Asquith - Mount Colah,Niagara Park - Lisarow,3
Hornsby - Waitara,Niagara Park - Lisarow,3
Balgowlah - Clontarf - Seaforth,Niagara Park - Lisarow,3
Oyster Bay - Como - Jannali,Niagara Park - Lisarow,3
No Usual Address (NSW),Niagara Park - Lisarow,4
Avoca Beach - Copacabana,Point Clare - Koolewong,13
Box Head - MacMasters Beach,Point Clare - Koolewong,24
Calga - Kulnura,Point Clare - Koolewong,7
Erina - Green Point,Point Clare - Koolewong,16
Gosford - Springfield,Point Clare - Koolewong,37
Kariong,Point Clare - Koolewong,29
Kincumber - Picketts Valley,Point Clare - Koolewong,5
Narara,Point Clare - Koolewong,12
Niagara Park - Lisarow,Point Clare - Koolewong,15
Point Clare - Koolewong,Point Clare - Koolewong,284
Saratoga - Davistown,Point Clare - Koolewong,6
Terrigal - North Avoca,Point Clare - Koolewong,16
Umina - Booker Bay - Patonga,Point Clare - Koolewong,59
Wamberal - Forresters Beach,Point Clare - Koolewong,10
Woy Woy - Blackwall,Point Clare - Koolewong,32
Wyoming,Point Clare - Koolewong,31
Bateau Bay - Killarney Vale,Point Clare - Koolewong,17
Blue Haven - San Remo,Point Clare - Koolewong,5
Chittaway Bay - Tumbi Umbi,Point Clare - Koolewong,10
Gorokan - Kanwal - Charmhaven,Point Clare - Koolewong,11
Jilliby - Yarramalong,Point Clare - Koolewong,4
Ourimbah - Fountaindale,Point Clare - Koolewong,3
Toukley - Norah Head,Point Clare - Koolewong,3
Warnervale - Wadalba,Point Clare - Koolewong,7
Wyong,Point Clare - Koolewong,8
Belmont - Bennetts Green,Point Clare - Koolewong,3
Maryland - Fletcher - Minmi,Point Clare - Koolewong,3
Asquith - Mount Colah,Point Clare - Koolewong,3
Turramurra,Point Clare - Koolewong,3
Avoca Beach - Copacabana,Saratoga - Davistown,7
Box Head - MacMasters Beach,Saratoga - Davistown,15
Erina - Green Point,Saratoga - Davistown,23
Gosford - Springfield,Saratoga - Davistown,18
Kincumber - Picketts Valley,Saratoga - Davistown,18
Niagara Park - Lisarow,Saratoga - Davistown,10
Point Clare - Koolewong,Saratoga - Davistown,4
Saratoga - Davistown,Saratoga - Davistown,370
Terrigal - North Avoca,Saratoga - Davistown,22
Umina - Booker Bay - Patonga,Saratoga - Davistown,8
Wamberal - Forresters Beach,Saratoga - Davistown,16
Woy Woy - Blackwall,Saratoga - Davistown,3
Wyoming,Saratoga - Davistown,3
Bateau Bay - Killarney Vale,Saratoga - Davistown,13
Blue Haven - San Remo,Saratoga - Davistown,3
Lake Munmorah - Mannering Park,Saratoga - Davistown,3
The Entrance,Saratoga - Davistown,3
Bankstown,Saratoga - Davistown,4
Jindabyne - Berridale,Terrigal - North Avoca,3
Avoca Beach - Copacabana,Terrigal - North Avoca,101
Box Head - MacMasters Beach,Terrigal - North Avoca,55
Calga - Kulnura,Terrigal - North Avoca,7
Erina - Green Point,Terrigal - North Avoca,135
Gosford - Springfield,Terrigal - North Avoca,103
Kariong,Terrigal - North Avoca,14
Kincumber - Picketts Valley,Terrigal - North Avoca,72
Narara,Terrigal - North Avoca,15
Niagara Park - Lisarow,Terrigal - North Avoca,36
Point Clare - Koolewong,Terrigal - North Avoca,13
Saratoga - Davistown,Terrigal - North Avoca,60
Terrigal - North Avoca,Terrigal - North Avoca,1006
Umina - Booker Bay - Patonga,Terrigal - North Avoca,32
Wamberal - Forresters Beach,Terrigal - North Avoca,212
Woy Woy - Blackwall,Terrigal - North Avoca,23
Wyoming,Terrigal - North Avoca,31
Bateau Bay - Killarney Vale,Terrigal - North Avoca,119
Blue Haven - San Remo,Terrigal - North Avoca,4
Budgewoi - Buff Point - Halekulani,Terrigal - North Avoca,5
Chittaway Bay - Tumbi Umbi,Terrigal - North Avoca,60
Gorokan - Kanwal - Charmhaven,Terrigal - North Avoca,13
Jilliby - Yarramalong,Terrigal - North Avoca,3
Lake Munmorah - Mannering Park,Terrigal - North Avoca,4
Ourimbah - Fountaindale,Terrigal - North Avoca,7
Summerland Point - Gwandalan,Terrigal - North Avoca,3
The Entrance,Terrigal - North Avoca,55
Toukley - Norah Head,Terrigal - North Avoca,4
Tuggerah - Kangy Angy,Terrigal - North Avoca,12
Warnervale - Wadalba,Terrigal - North Avoca,21
Wyong,Terrigal - North Avoca,12
Taree,Terrigal - North Avoca,3
Swansea - Caves Beach,Terrigal - North Avoca,3
Morisset - Cooranbong,Terrigal - North Avoca,5
Toronto - Awaba,Terrigal - North Avoca,4
Hornsby - Waitara,Terrigal - North Avoca,3
Fairfield,Terrigal - North Avoca,3
Avoca Beach - Copacabana,Umina - Booker Bay - Patonga,64
Box Head - MacMasters Beach,Umina - Booker Bay - Patonga,235
Calga - Kulnura,Umina - Booker Bay - Patonga,8
Erina - Green Point,Umina - Booker Bay - Patonga,45
Gosford - Springfield,Umina - Booker Bay - Patonga,46
Kariong,Umina - Booker Bay - Patonga,42
